IsIPA,OG,FG,ABV,IBU,Color,BoilTime,BoilGravity,PitchRate,Efficiency,UserId
FALSE,1.069,1.007,8.12,0,30.48,60,,,75,
FALSE,1.064,1.012,6.8,9.36,9.85,60,1.132,0.5,35,
FALSE,1.061,1.015,6.08,28.31,35.83,60,1.044,0.35,83,42087
FALSE,1.053,1.012,5.44,46.48,5.77,60,1.033,,70,
FALSE,1.053,1.017,4.64,42.29,4.22,90,1.039,0.5,77,14729
FALSE,1.055,1.012,5.62,37.3,5.04,60,1.04,,75,
TRUE,1.061,1.014,6.17,32.17,3.85,60,1.048,0.5,70,93114
FALSE,1.056,1.013,5.63,40.6,7.59,60,1.048,,66,
FALSE,1.054,1.012,5.4,31.48,31.69,60,1.039,0.35,75,
FALSE,1.115,1.026,11.59,44.94,50,90,1.061,,65,
FALSE,1.053,1.006,6.1,21.83,3.46,90,1.046,0.75,70,
FALSE,1.043,1.011,4.11,35.34,32.74,60,1.031,0.75,76,
FALSE,1.06,1.014,6.01,50.36,8.78,60,1.043,,61,56907
TRUE,1.048,1.008,5.2,27.8,2.45,30,1.092,0.75,50,
FALSE,1.065,1.017,6.29,29.89,6.04,90,1.047,1.25,65,
FALSE,1.066,1.016,6.45,35.22,5.05,60,1.048,,75,66189
FALSE,1.043,1.005,4.95,33.41,3.48,60,1.057,,35,
TRUE,1.06,1.011,6.33,63.64,11.14,60,1.048,,70,
TRUE,1.065,1.016,6.45,93.62,10.98,60,1.05,0.5,77,42368
TRUE,1.065,1.009,7.31,72.15,5.65,60,1.055,,68,19835
TRUE,1.069,1.015,7.11,76.3,6.35,60,1.062,0.75,72,
TRUE,1.063,1.012,6.58,89.91,10.16,60,1.044,1.25,70,
TRUE,1.049,1.007,5.51,144.02,9.43,60,1.037,,53,83821
FALSE,1.057,1.014,5.63,70.25,6.25,60,1.044,,70,
FALSE,1.052,1.013,5.15,37.31,6.4,60,1.038,1,75,
TRUE,1.081,1.023,7.59,81.53,8.19,60,1.059,,68,
FALSE,1.07,1.02,6.58,44.86,21.63,60,1.044,0.35,65,23941
FALSE,1.043,1.011,4.21,0,4.88,60,1.038,,75,
TRUE,1.058,1.01,6.31,62.66,8.25,60,1.033,,70,
